0,,
49,,
M-D-Y,HH:MM/s,mm/h
,0,2.098099823
,300,11.02437204
,600,12.04433938
,900,13.28658066
,1200,14.84249825
,1500,16.83465442
,1800,19.47493648
,2100,23.14764983
,2400,28.5736268
,2700,37.32748091
,3000,53.55971064
,3300,92.11073689
,3600,260.6234673
,3900,194.7223595
,4200,80.78930715
,4500,49.31157783
,4800,35.1753706
,5100,27.29191631
,5400,22.30425525
,5700,18.88082108
,6000,16.39218387
,6300,14.5018167
,6600,13.01652821
,6900,11.82414277
,7200,10.8415673
,7500,0
,7800,0
,8100,0
,8400,0
,8700,0
,9000,0
,9300,0
,9600,0
,9900,0
,10200,0
,10500,0
,10800,0
,11100,0
,11400,0
,11700,0
,12000,0
,12300,0
,12600,0
,12900,0
,13200,0
,13500,0
,13800,0
,14100,0
,14400,0
