0,,
49,,
M-D-Y,HH:MM/s,mm/h
,0,1.398733215
,300,7.349581361
,600,8.029559588
,900,8.857720442
,1200,9.894998836
,1500,11.22310295
,1800,12.98329099
,2100,15.43176655
,2400,19.04908453
,2700,24.88498728
,3000,35.70647376
,3300,61.40715793
,3600,173.7489782
,3900,129.8149064
,4200,53.8595381
,4500,32.87438522
,4800,23.45024707
,5100,18.19461088
,5400,14.8695035
,5700,12.58721406
,6000,10.92812258
,6300,9.667877799
,6600,8.677685474
,6900,7.882761844
,7200,7.227711536
,7500,0
,7800,0
,8100,0
,8400,0
,8700,0
,9000,0
,9300,0
,9600,0
,9900,0
,10200,0
,10500,0
,10800,0
,11100,0
,11400,0
,11700,0
,12000,0
,12300,0
,12600,0
,12900,0
,13200,0
,13500,0
,13800,0
,14100,0
,14400,0
