0,,
49,,
M-D-Y,HH:MM/s,mm/h
,0,0.233122203
,300,1.224930227
,600,1.338259931
,900,1.47628674
,1200,1.649166473
,1500,1.870517158
,1800,2.163881831
,2100,2.571961092
,2400,3.174847422
,2700,4.147497879
,3000,5.95107896
,3300,10.23452632
,3600,28.95816303
,3900,21.63581773
,4200,8.976589684
,4500,5.479064203
,4800,3.908374511
,5100,3.032435146
,5400,2.478250583
,5700,2.097869009
,6000,1.821353763
,6300,1.611312967
,6600,1.446280912
,6900,1.313793641
,7200,1.204618589
,7500,0
,7800,0
,8100,0
,8400,0
,8700,0
,9000,0
,9300,0
,9600,0
,9900,0
,10200,0
,10500,0
,10800,0
,11100,0
,11400,0
,11700,0
,12000,0
,12300,0
,12600,0
,12900,0
,13200,0
,13500,0
,13800,0
,14100,0
,14400,0
