0,,
49,,
M-D-Y,HH:MM/s,mm/h
,0,0.93248881
,300,4.899720907
,600,5.353039725
,900,5.905146961
,1200,6.596665891
,1500,7.482068633
,1800,8.655527324
,2100,10.28784437
,2400,12.69938969
,2700,16.58999152
,3000,23.80431584
,3300,40.93810529
,3600,115.8326521
,3900,86.5432709
,4200,35.90635874
,4500,21.91625681
,4800,15.63349804
,5100,12.12974058
,5400,9.913002333
,5700,8.391476037
,6000,7.285415052
,6300,6.445251866
,6600,5.785123649
,6900,5.255174563
,7200,4.818474358
,7500,0
,7800,0
,8100,0
,8400,0
,8700,0
,9000,0
,9300,0
,9600,0
,9900,0
,10200,0
,10500,0
,10800,0
,11100,0
,11400,0
,11700,0
,12000,0
,12300,0
,12600,0
,12900,0
,13200,0
,13500,0
,13800,0
,14100,0
,14400,0
