0,,
49,,
M-D-Y,HH:MM/s,mm/h
,0,1.631855418
,300,8.574511588
,600,9.367819519
,900,10.33400718
,1200,11.54416531
,1500,13.09362011
,1800,15.14717282
,2100,18.00372765
,2400,22.22393196
,2700,29.03248516
,3000,41.65755272
,3300,71.64168425
,3600,202.7071412
,3900,151.4507241
,4200,62.83612779
,4500,38.35344942
,4800,27.35862158
,5100,21.22704602
,5400,17.34775408
,5700,14.68508306
,6000,12.74947634
,6300,11.27919077
,6600,10.12396639
,6900,9.196555485
,7200,8.432330126
,7500,0
,7800,0
,8100,0
,8400,0
,8700,0
,9000,0
,9300,0
,9600,0
,9900,0
,10200,0
,10500,0
,10800,0
,11100,0
,11400,0
,11700,0
,12000,0
,12300,0
,12600,0
,12900,0
,13200,0
,13500,0
,13800,0
,14100,0
,14400,0
