0,,
49,,
M-D-Y,HH:MM/s,mm/h
,0,0.699366608
,300,3.67479068
,600,4.014779794
,900,4.428860221
,1200,4.947499418
,1500,5.611551474
,1800,6.491645493
,2100,7.715883277
,2400,9.524542267
,2700,12.44249364
,3000,17.85323688
,3300,30.70357896
,3600,86.87448908
,3900,64.90745318
,4200,26.92976905
,4500,16.43719261
,4800,11.72512353
,5100,9.097305438
,5400,7.43475175
,5700,6.293607028
,6000,5.464061289
,6300,4.8339389
,6600,4.338842737
,6900,3.941380922
,7200,3.613855768
,7500,0
,7800,0
,8100,0
,8400,0
,8700,0
,9000,0
,9300,0
,9600,0
,9900,0
,10200,0
,10500,0
,10800,0
,11100,0
,11400,0
,11700,0
,12000,0
,12300,0
,12600,0
,12900,0
,13200,0
,13500,0
,13800,0
,14100,0
,14400,0
