0,,
49,,
M-D-Y,HH:MM/s,mm/h
,0,1.165611013
,300,6.124651134
,600,6.691299656
,900,7.381433702
,1200,8.245832364
,1500,9.352585791
,1800,10.81940915
,2100,12.85980546
,2400,15.87423711
,2700,20.7374894
,3000,29.7553948
,3300,51.17263161
,3600,144.7908151
,3900,108.1790886
,4200,44.88294842
,4500,27.39532101
,4800,19.54187256
,5100,15.16217573
,5400,12.39125292
,5700,10.48934505
,6000,9.106768815
,6300,8.056564833
,6600,7.231404561
,6900,6.568968203
,7200,6.023092947
,7500,0
,7800,0
,8100,0
,8400,0
,8700,0
,9000,0
,9300,0
,9600,0
,9900,0
,10200,0
,10500,0
,10800,0
,11100,0
,11400,0
,11700,0
,12000,0
,12300,0
,12600,0
,12900,0
,13200,0
,13500,0
,13800,0
,14100,0
,14400,0
