0,,
49,,
M-D-Y,HH:MM/s,mm/h
,0,0.466244405
,300,2.449860454
,600,2.676519863
,900,2.952573481
,1200,3.298332945
,1500,3.741034316
,1800,4.327763662
,2100,5.143922185
,2400,6.349694845
,2700,8.294995759
,3000,11.90215792
,3300,20.46905264
,3600,57.91632606
,3900,43.27163545
,4200,17.95317937
,4500,10.95812841
,4800,7.816749022
,5100,6.064870292
,5400,4.956501167
,5700,4.195738018
,6000,3.642707526
,6300,3.222625933
,6600,2.892561825
,6900,2.627587281
,7200,2.409237179
,7500,0
,7800,0
,8100,0
,8400,0
,8700,0
,9000,0
,9300,0
,9600,0
,9900,0
,10200,0
,10500,0
,10800,0
,11100,0
,11400,0
,11700,0
,12000,0
,12300,0
,12600,0
,12900,0
,13200,0
,13500,0
,13800,0
,14100,0
,14400,0
